电台名称,播放地址,地址来源
惠州音乐广播 FM90.7,https://ls.qingting.fm/live/2212959.m3u8,qingting.fm
拉萨人民广播电台 FM91.4,https://ls.qingting.fm/live/3244137.m3u8,qingting.fm
新疆交通广播 FM94.9 (Opt-2),https://ls.qingting.fm/live/1910.m3u8,qingting.fm
新疆故事广播 FM102.8,https://ls.qingting.fm/live/1911.m3u8,qingting.fm
新疆新闻广播 FM96.1 (Opt-1),https://ls.qingting.fm/live/1902.m3u8,qingting.fm
新疆民生广播 FM92.4 (Opt-2),https://ls.qingting.fm/live/76186.m3u8,qingting.fm
新疆私家车广播 FM92.9 (Opt-1),https://ls.qingting.fm/live/1909.m3u8,qingting.fm
新疆维吾尔语交通文艺广播 (Opt-2),https://ls.qingting.fm/live/78923.m3u8,qingting.fm
新疆蒙古语广播 (Opt-1),https://ls.qingting.fm/live/1903.m3u8,qingting.fm
无锡交通广播 FM106.9,https://ls.qingting.fm/live/2780.m3u8,qingting.fm
无锡新闻广播 FM93.7,https://ls.qingting.fm/live/2777.m3u8,qingting.fm
昆明汽车广播 FM95.4,https://ls.qingting.fm/live/1936.m3u8,qingting.fm
昆明都市调频 FM102.8,https://ls.qingting.fm/live/1935.m3u8,qingting.fm
昆明阳光广播,https://ls.qingting.fm/live/1934.m3u8,qingting.fm
梅州交通广播 FM105.8,https://ls.qingting.fm/live/24195.m3u8,qingting.fm
梅州新闻广播 FM94.8,https://ls.qingting.fm/live/24173.m3u8,qingting.fm
楚天交通广播 FM92.7,https://ls.qingting.fm/live/1291.m3u8,qingting.fm
楚天音乐广播 FM105.8 (Opt-1),https://ls.qingting.fm/live/1289.m3u8,qingting.fm
江苏交通广播 FM101.1,https://ls.qingting.fm/live/4054.m3u8,qingting.fm
江苏健康广播 AM846,https://lzlive.vojs.cn/EWpb5Ov/92/live.m3u8,vojs.cn
江苏故事广播 AM1206,https://lzlive.vojs.cn/rWjyus9/92/live.m3u8,vojs.cn
江苏文艺广播 AM1053,https://lzlive.vojs.cn/pL6NkZo/92/live.m3u8,vojs.cn
江苏新闻广播 FM93.7,https://ls.qingting.fm/live/4944.m3u8,qingting.fm
江苏新闻综合广播 AM702 (Opt-1),https://lzlive.vojs.cn/rTyLc36/92/live.m3u8,vojs.cn
江苏新闻综合广播 AM702 (Opt-2),https://ls.qingting.fm/live/5055.m3u8,qingting.fm
江苏财经广播 AM585,https://lzlive.vojs.cn/caijing/92/live.m3u8,vojs.cn
江苏金陵之声,https://lzlive.vojs.cn/Hd2hIgM/92/live.m3u8,vojs.cn
江苏音乐广播 FM89.7,https://lzlive.vojs.cn/jAmO6Ng/92/live.m3u8,vojs.cn
沉阳新闻广播 FM104.5,https://ls.qingting.fm/live/23891.m3u8,qingting.fm
沉阳都市广播 FM92.1,https://ls.qingting.fm/live/1099.m3u8,qingting.fm
沉阳音乐广播 路上好朋友 FM98.6,https://ls.qingting.fm/live/1101.m3u8,qingting.fm
河北 My FM 102.9,https://ls.qingting.fm/live/2508757.m3u8,qingting.fm
河北交通广播 FM99.2,https://ls.qingting.fm/live/1646.m3u8,qingting.fm
河北农民广播 AM558,https://ls.qingting.fm/live/1650.m3u8,qingting.fm
河北故事广播 FM107.9,https://ls.qingting.fm/live/1645.m3u8,qingting.fm
河北新闻广播 FM104.3,https://ls.qingting.fm/live/1644.m3u8,qingting.fm
河北旅游广播 AM603,https://ls.qingting.fm/live/1651.m3u8,qingting.fm
河北生活广播 FM88.8,https://ls.qingting.fm/live/4867.m3u8,qingting.fm
河北私家车广播 FM90.7,https://ls.qingting.fm/live/4868.m3u8,qingting.fm
河北音乐广播 FM102.4,https://ls.qingting.fm/live/1649.m3u8,qingting.fm
浙江之声 FM88 (Opt-1),https://ls.qingting.fm/live/4518.m3u8,qingting.fm
浙江交通之声 FM93 (Opt-1),https://ls.qingting.fm/live/4522.m3u8,qingting.fm
浙江动听(音乐调频) FM96.8 (Opt-2),https://ls.qingting.fm/live/4866.m3u8,qingting.fm
浙江女主播电台 FM104.5 (Opt-2),https://ls.qingting.fm/live/4524.m3u8,qingting.fm
浙江财富广播 FM95 (Opt-1),https://ls.qingting.fm/live/4519.m3u8,qingting.fm
海南交通广播 FM100,https://ls.qingting.fm/live/4911.m3u8,qingting.fm
海南国际旅游之声 FM103.8,https://ls.qingting.fm/live/1862.m3u8,qingting.fm
海南新闻广播 FM88.6,https://ls.qingting.fm/live/1861.m3u8,qingting.fm
海南民生广播 FM101,https://ls.qingting.fm/live/1511803.m3u8,qingting.fm
海南音乐广播 FM94.5,https://ls.qingting.fm/live/4878.m3u8,qingting.fm
海口音乐广播,https://ls.qingting.fm/live/23859.m3u8,qingting.fm
深圳快乐1062(交通广播),https://ls.qingting.fm/live/1272.m3u8,qingting.fm
深圳私家车广播 FM94.2,https://ls.qingting.fm/live/1273.m3u8,qingting.fm
深圳飞扬音乐971,https://ls.qingting.fm/live/1271.m3u8,qingting.fm
温州交通广播 FM103.9,https://ls.qingting.fm/live/23863.m3u8,qingting.fm
温州新闻广播 FM94.9,https://ls.qingting.fm/live/23861.m3u8,qingting.fm
温州私家车音乐广播 FM100.3,https://ls.qingting.fm/live/23865.m3u8,qingting.fm
温州经济生活广播 FM88.8,https://ls.qingting.fm/live/23867.m3u8,qingting.fm
温州绿色之声 FM93.8,https://ls.qingting.fm/live/1158.m3u8,qingting.fm
湖州交通文艺广播 FM98.5,https://ls.qingting.fm/live/2811.m3u8,qingting.fm
湖州经济广播 FM103.5,https://ls.qingting.fm/live/2812.m3u8,qingting.fm
湖州综合广播 湖州之声 FM05,https://ls.qingting.fm/live/2810.m3u8,qingting.fm
潍坊新闻广播 FM100.2,https://ls.qingting.fm/live/60358.m3u8,qingting.fm
潍坊私家车广播 FM93.3,https://ls.qingting.fm/live/84511.m3u8,qingting.fm
潍坊音乐优生活 FM90.8,https://ls.qingting.fm/live/4865.m3u8,qingting.fm
珠海电台交通音乐875,https://ls.qingting.fm/live/1275.m3u8,qingting.fm
珠海电台先锋951,https://ls.qingting.fm/live/1274.m3u8,qingting.fm
